Line; Date; Time; I INA SPECTRO (mA); I INA OSCAR (mA); I INA MOTORS (mA); I INA BATT (mA); I INA DC_BUS (mA); I INA Q7 (mA); I INA 5V (mA); I INA 3V3 (mA)
188; 2023/10/10; 17:10:52; 0; 63; 12363; 0; 4978; 47; 23; 7
189; 2023/10/10; 17:11:02; 0; 62; 12389; 0; 4984; 51; 23; 7
190; 2023/10/10; 17:11:12; 0; 62; 12382; 0; 4806; 50; 23; 7
191; 2023/10/10; 17:11:22; 0; 62; 12364; 0; 4801; 47; 23; 7
192; 2023/10/10; 17:11:32; 1048575; 62; 12347; 0; 4784; 46; 23; 7
193; 2023/10/10; 17:11:42; 1048575; 62; 12349; 0; 4810; 49; 23; 7
194; 2023/10/10; 17:11:52; 0; 63; 12371; 0; 4888; 48; 23; 7
195; 2023/10/10; 17:12:02; 1048575; 63; 12375; 0; 4922; 46; 23; 7
196; 2023/10/10; 17:12:12; 1048575; 62; 12399; 0; 4981; 49; 23; 7
197; 2023/10/10; 17:12:22; 1048575; 62; 12364; 0; 4959; 50; 23; 7
198; 2023/10/10; 17:12:32; 1048575; 62; 12412; 0; 4824; 47; 23; 7
199; 2023/10/10; 17:12:42; 0; 62; 12401; 0; 4954; 49; 23; 7
200; 2023/10/10; 17:12:52; 1; 62; 12389; 0; 4966; 48; 23; 7
201; 2023/10/10; 17:13:02; 0; 63; 12413; 0; 4827; 47; 23; 7
202; 2023/10/10; 17:13:12; 1048575; 63; 12387; 0; 4788; 46; 23; 7
203; 2023/10/10; 17:13:22; 0; 63; 12367; 0; 4821; 48; 23; 7
204; 2023/10/10; 17:13:32; 0; 62; 12370; 0; 4805; 49; 23; 7
205; 2023/10/10; 17:13:42; 1048575; 62; 12369; 0; 4826; 46; 23; 7
206; 2023/10/10; 17:13:52; 1048575; 63; 12388; 0; 4967; 46; 23; 7
207; 2023/10/10; 17:14:02; 1048575; 63; 12391; 0; 4867; 48; 23; 7
208; 2023/10/10; 17:14:12; 1048575; 63; 12383; 0; 4955; 48; 23; 7
209; 2023/10/10; 17:14:22; 1; 53; 12356; 0; 4975; 46; 23; 7
210; 2023/10/10; 17:14:32; 1048575; 53; 12355; 0; 4902; 49; 23; 7
211; 2023/10/10; 17:14:42; 1048575; 53; 12368; 0; 4797; 50; 23; 7
212; 2023/10/10; 17:14:52; 1048575; 55; 12371; 0; 4826; 48; 23; 7
213; 2023/10/10; 17:15:02; 1048575; 63; 12408; 0; 4852; 47; 23; 7
214; 2023/10/10; 17:15:12; 1048575; 62; 12381; 0; 4865; 50; 23; 7
215; 2023/10/10; 17:15:22; 0; 62; 12368; 0; 4844; 49; 23; 7
216; 2023/10/10; 17:15:32; 0; 62; 12363; 0; 4831; 47; 23; 7
217; 2023/10/10; 17:15:42; 1048575; 63; 12406; 0; 4824; 50; 23; 7
218; 2023/10/10; 17:15:52; 0; 63; 12411; 0; 4894; 49; 23; 7
219; 2023/10/10; 17:16:02; 1048575; 62; 12382; 0; 4906; 48; 23; 7
220; 2023/10/10; 17:16:12; 1048575; 62; 12367; 0; 4941; 46; 23; 7
221; 2023/10/10; 17:16:22; 1048575; 62; 12371; 0; 4965; 48; 23; 7
222; 2023/10/10; 17:16:32; 1048575; 63; 12357; 0; 4958; 49; 23; 7
223; 2023/10/10; 17:16:42; 1048575; 62; 12412; 0; 4949; 47; 23; 7
224; 2023/10/10; 17:16:52; 0; 62; 12385; 0; 4949; 48; 23; 7
225; 2023/10/10; 17:17:02; 0; 62; 12370; 0; 4937; 50; 23; 7
226; 2023/10/10; 17:17:12; 1048575; 63; 12386; 0; 4803; 47; 23; 7
227; 2023/10/10; 17:17:22; 1048575; 62; 12382; 0; 4785; 46; 23; 7
228; 2023/10/10; 17:17:32; 1048575; 62; 12409; 0; 4783; 49; 23; 7
229; 2023/10/10; 17:17:42; 1048575; 62; 12394; 0; 4814; 48; 23; 7
230; 2023/10/10; 17:17:52; 1048575; 62; 12372; 0; 4820; 46; 23; 7
231; 2023/10/10; 17:18:02; 0; 63; 12357; 0; 4808; 48; 23; 7
232; 2023/10/10; 17:18:12; 1048575; 62; 12413; 0; 4795; 50; 23; 7
233; 2023/10/10; 17:18:22; 0; 62; 12393; 0; 4805; 46; 23; 7
234; 2023/10/10; 17:18:32; 1048575; 63; 12376; 0; 4800; 49; 23; 7
235; 2023/10/10; 17:18:42; 0; 62; 12391; 0; 4934; 49; 23; 7
236; 2023/10/10; 17:18:52; 0; 62; 12383; 0; 4970; 49; 23; 7
237; 2023/10/10; 17:19:02; 1048575; 63; 12398; 0; 4966; 47; 23; 7
238; 2023/10/10; 17:19:12; 0; 53; 12380; 0; 4929; 48; 23; 7
239; 2023/10/10; 17:19:22; 0; 53; 12396; 0; 4940; 50; 23; 7
240; 2023/10/10; 17:19:32; 1048575; 53; 12398; 0; 4964; 49; 23; 7
241; 2023/10/10; 17:19:42; 1048575; 63; 12375; 0; 4989; 46; 23; 7
242; 2023/10/10; 17:19:52; 0; 63; 12379; 0; 4789; 50; 23; 7
243; 2023/10/10; 17:20:02; 1048575; 63; 12390; 0; 4790; 48; 23; 7
244; 2023/10/10; 17:20:12; 1048575; 62; 12400; 0; 4798; 46; 23; 7
245; 2023/10/10; 17:20:22; 1048575; 62; 12387; 0; 4778; 49; 23; 7
246; 2023/10/10; 17:20:32; 0; 62; 12393; 0; 4802; 50; 23; 7
247; 2023/10/10; 17:20:42; 0; 63; 12417; 0; 4787; 46; 23; 7
248; 2023/10/10; 17:20:52; 0; 62; 7742; 0; 18691; 53; 23; 7
249; 2023/10/10; 17:21:02; 0; 62; 11712; 0; 19358; 58; 23; 7
250; 2023/10/10; 17:21:12; 1048575; 62; 12219; 0; 19426; 56; 23; 7
251; 2023/10/10; 17:21:22; 0; 62; 8060; 0; 18822; 54; 23; 7
252; 2023/10/10; 17:21:32; 1048575; 63; 13220; 0; 19611; 58; 23; 7
253; 2023/10/10; 17:21:42; 1048575; 62; 22009; 0; 6787; 50; 23; 7
254; 2023/10/10; 17:21:52; 0; 63; 21561; 0; 6367; 43; 23; 6
255; 2023/10/10; 17:22:02; 1048575; 63; 22410; 0; 6839; 51; 23; 7
256; 2023/10/10; 17:22:12; 1048575; 63; 21470; 0; 6625; 49; 23; 7
257; 2023/10/10; 17:22:22; 0; 62; 22006; 0; 7364; 64; 66; 7
258; 2023/10/10; 17:22:32; 1048575; 63; 0; 0; 2525; 46; 22; 7
259; 2023/10/10; 17:22:42; 1; 63; 0; 0; 2377; 41; 22; 6
260; 2023/10/10; 17:22:52; 1048575; 62; 0; 0; 2545; 48; 22; 7
261; 2023/10/10; 17:23:02; 1048575; 63; 0; 0; 2553; 48; 22; 7
262; 2023/10/10; 17:23:12; 0; 62; 0; 0; 2544; 45; 22; 7
263; 2023/10/10; 17:23:22; 0; 63; 0; 0; 2646; 46; 22; 7
264; 2023/10/10; 17:23:32; 0; 63; 0; 0; 2559; 43; 22; 6
265; 2023/10/10; 17:23:42; 1048575; 63; 0; 0; 2690; 48; 22; 7
266; 2023/10/10; 17:23:52; 0; 53; 0; 0; 2656; 47; 22; 7
267; 2023/10/10; 17:24:02; 0; 53; 0; 0; 2705; 49; 22; 7
268; 2023/10/10; 17:24:12; 1048575; 52; 0; 0; 2689; 50; 22; 7
269; 2023/10/10; 17:24:22; 1048575; 54; 0; 0; 2323; 44; 22; 6
270; 2023/10/10; 17:24:32; 0; 62; 0; 0; 2694; 45; 22; 7
271; 2023/10/10; 17:24:42; 0; 62; 0; 0; 2518; 48; 22; 7
272; 2023/10/10; 17:24:52; 1048575; 63; 0; 0; 2543; 48; 22; 7
273; 2023/10/10; 17:25:02; 0; 62; 0; 0; 2543; 45; 22; 7
274; 2023/10/10; 17:25:12; 1048575; 62; 0; 0; 2364; 44; 22; 6
275; 2023/10/10; 17:25:22; 1048575; 62; 0; 0; 2527; 48; 22; 7
276; 2023/10/10; 17:25:32; 1048575; 62; 0; 0; 2532; 45; 22; 7
277; 2023/10/10; 17:25:42; 1048575; 62; 0; 0; 2550; 44; 22; 7
278; 2023/10/10; 17:25:52; 1048575; 62; 0; 0; 2590; 48; 22; 7
279; 2023/10/10; 17:26:02; 0; 62; 0; 0; 2449; 43; 22; 6
280; 2023/10/10; 17:26:12; 0; 62; 0; 0; 2603; 45; 22; 7
281; 2023/10/10; 17:26:22; 0; 62; 0; 0; 2683; 48; 22; 7
282; 2023/10/10; 17:26:32; 0; 62; 0; 0; 2711; 48; 22; 7
283; 2023/10/10; 17:26:42; 1048575; 62; 0; 0; 2705; 44; 22; 7
284; 2023/10/10; 17:26:52; 1048575; 62; 0; 0; 2507; 41; 22; 6
285; 2023/10/10; 17:27:02; 0; 62; 0; 0; 2666; 48; 22; 7
286; 2023/10/10; 17:27:12; 0; 62; 0; 0; 2669; 45; 22; 7
287; 2023/10/10; 17:27:22; 1048575; 62; 0; 0; 2538; 44; 22; 7
288; 2023/10/10; 17:27:32; 1048575; 62; 0; 0; 2587; 48; 22; 7
289; 2023/10/10; 17:27:42; 1048575; 62; 0; 0; 2424; 45; 22; 6
290; 2023/10/10; 17:27:52; 0; 62; 0; 0; 2617; 47; 22; 7
