Line;Date;Time;PD0 (V);PD1 (V);PD2 (V);PD3 (V);PD4 (V);PD5 (degC)
390;2023/10/11;01:05:03;12;12;11;11;11;12
391;2023/10/11;01:05:13;12;12;11;11;11;11
392;2023/10/11;01:05:23;12;12;11;11;11;12
393;2023/10/11;01:05:33;12;12;11;11;11;12
394;2023/10/11;01:05:43;11;12;11;11;11;11
395;2023/10/11;01:05:53;11;12;11;12;11;11
396;2023/10/11;01:06:03;11;12;11;11;11;12
397;2023/10/11;01:06:13;12;12;11;11;11;11
398;2023/10/11;01:06:23;12;12;11;11;11;12
399;2023/10/11;01:06:33;12;12;11;12;11;11
400;2023/10/11;01:06:43;12;12;11;11;11;12
401;2023/10/11;01:06:53;11;12;11;11;11;12
402;2023/10/11;01:07:03;12;12;11;11;11;11
403;2023/10/11;01:07:13;12;12;11;11;11;12
404;2023/10/11;01:07:23;11;12;11;11;11;12
405;2023/10/11;01:07:33;11;12;11;11;11;11
406;2023/10/11;01:07:43;12;12;11;12;11;12
407;2023/10/11;01:07:53;12;12;11;11;11;12
408;2023/10/11;01:08:03;11;12;11;11;11;12
409;2023/10/11;01:08:13;11;12;11;11;11;12
410;2023/10/11;01:08:23;11;12;11;11;11;12
411;2023/10/11;01:08:33;11;12;11;11;11;12
412;2023/10/11;01:08:43;12;12;11;11;11;12
413;2023/10/11;01:08:53;11;12;11;11;11;12
414;2023/10/11;01:09:03;11;12;11;12;11;12
415;2023/10/11;01:09:13;12;12;11;11;11;12
416;2023/10/11;01:09:23;12;12;11;12;11;12
417;2023/10/11;01:09:33;12;12;11;11;11;11
418;2023/10/11;01:09:43;11;12;11;12;11;12
419;2023/10/11;01:09:53;11;12;11;11;11;12
420;2023/10/11;01:10:03;12;12;11;11;12;12
421;2023/10/11;01:10:13;12;12;11;11;11;12
422;2023/10/11;01:10:23;12;12;11;11;11;12
423;2023/10/11;01:10:33;11;12;11;11;11;12
424;2023/10/11;01:10:43;11;12;11;11;11;12
425;2023/10/11;01:10:53;12;12;11;11;11;12
426;2023/10/11;01:11:03;12;12;11;12;11;12
427;2023/10/11;01:11:13;11;12;11;11;11;12
428;2023/10/11;01:11:23;11;12;11;11;11;12
429;2023/10/11;01:11:33;12;12;11;11;11;12
430;2023/10/11;01:11:43;11;12;11;11;11;12
431;2023/10/11;01:11:53;11;12;11;11;11;12
432;2023/10/11;01:12:03;11;12;11;11;11;12
433;2023/10/11;01:12:13;12;12;11;12;12;11
434;2023/10/11;01:12:23;12;12;11;11;11;12
435;2023/10/11;01:12:33;12;12;11;11;11;12
436;2023/10/11;01:12:43;11;12;11;11;11;11
437;2023/10/11;01:12:53;12;12;11;11;11;12
438;2023/10/11;01:13:03;12;12;11;11;11;12
439;2023/10/11;01:13:13;12;12;11;12;11;12
440;2023/10/11;01:13:23;12;12;11;11;11;12
441;2023/10/11;01:13:33;11;12;11;11;11;12
442;2023/10/11;01:13:43;11;12;11;11;12;12
443;2023/10/11;01:13:53;11;12;11;11;11;12
444;2023/10/11;01:14:03;12;12;11;11;11;12
445;2023/10/11;01:14:13;12;12;11;11;11;11
446;2023/10/11;01:14:23;12;12;11;12;11;12
447;2023/10/11;01:14:33;12;12;11;11;11;12
448;2023/10/11;01:14:43;11;12;11;11;11;12
449;2023/10/11;01:14:53;12;12;11;11;11;12
450;2023/10/11;01:15:03;12;12;11;11;11;12
451;2023/10/11;01:15:13;12;12;11;11;11;12
452;2023/10/11;01:15:23;11;12;11;12;11;12
453;2023/10/11;01:15:33;12;12;11;11;11;12
454;2023/10/11;01:15:43;12;12;11;11;11;12
455;2023/10/11;01:15:53;11;12;11;12;11;12
456;2023/10/11;01:16:03;12;12;11;11;11;11
457;2023/10/11;01:16:13;11;12;11;11;11;12
458;2023/10/11;01:16:23;12;12;11;11;11;12
459;2023/10/11;01:16:33;11;12;11;11;11;12
460;2023/10/11;01:16:43;12;12;11;12;11;12
461;2023/10/11;01:16:53;12;12;11;11;11;12
462;2023/10/11;01:17:03;11;12;11;11;11;12
463;2023/10/11;01:17:13;12;12;11;11;11;12
464;2023/10/11;01:17:23;11;12;11;11;11;12
465;2023/10/11;01:17:33;11;12;11;11;11;11
466;2023/10/11;01:17:43;11;12;11;11;11;12
467;2023/10/11;01:17:53;12;12;11;11;11;12
468;2023/10/11;01:18:03;12;12;11;11;11;12
469;2023/10/11;01:18:13;11;12;11;12;11;12
470;2023/10/11;01:18:23;12;12;11;12;11;12
471;2023/10/11;01:18:33;12;12;11;11;11;12
472;2023/10/11;01:18:43;12;12;11;11;11;12
473;2023/10/11;01:18:53;11;12;11;11;11;12
474;2023/10/11;01:19:03;11;12;11;11;12;12
475;2023/10/11;01:19:13;12;12;11;11;11;11
476;2023/10/11;01:19:23;12;12;11;11;11;12
477;2023/10/11;01:19:33;11;12;11;11;11;12
478;2023/10/11;01:19:43;12;12;11;11;11;11
479;2023/10/11;01:19:53;11;12;11;11;11;12
480;2023/10/11;01:20:03;4018;12;11;11;11;12
481;2023/10/11;01:20:13;4017;12;11;11;11;12
482;2023/10/11;01:20:23;4016;12;11;11;11;12
483;2023/10/11;01:20:33;4018;12;11;11;11;12
484;2023/10/11;01:20:43;4016;12;11;11;11;11
485;2023/10/11;01:20:53;4017;12;11;11;11;12
486;2023/10/11;01:21:03;4016;12;11;11;11;12
487;2023/10/11;01:21:13;4017;12;11;11;11;12
488;2023/10/11;01:21:23;4019;12;11;11;11;12
489;2023/10/11;01:21:33;4017;12;11;11;11;12
490;2023/10/11;01:21:43;4017;12;11;11;11;12
491;2023/10/11;01:21:53;4018;12;11;11;12;12
492;2023/10/11;01:22:03;4016;12;11;11;11;12
493;2023/10/11;01:22:13;4016;12;11;11;11;12
494;2023/10/11;01:22:23;4017;12;11;11;12;12
495;2023/10/11;01:22:33;4016;12;11;11;11;12
496;2023/10/11;01:22:43;4017;12;11;11;11;12
497;2023/10/11;01:22:53;4018;12;11;11;11;11
498;2023/10/11;01:23:03;4013;12;11;11;11;12
499;2023/10/11;01:23:13;4017;12;11;12;11;12
500;2023/10/11;01:23:23;4015;12;11;11;11;11
501;2023/10/11;01:23:33;4018;12;11;11;11;11
