Line,Date,Time,POT1 ,POT2 ,POT3 ,POT4 ,POT5 ,POT6 ,POTref ,PT1 ,PT2 ,PT3 ,PTref,I INA SPECTRO (mA),I INA OSCAR (mA),I INA MOTORS (mA),I INA BATT (mA),I INA DC_BUS (mA),I INA Q7 (mA),I INA 5V (mA),I INA 3V3 (mA),PD0 (V),PD1 (V),PD2 (V),PD3 (V),PD4 (V),PD5 (degC),PT0 (degC),PT1 (degC),PT2 (degC),PT3 (degC),PT4 (degC),PT5 (degC),PT6 (degC),PT7 (degC),T INA SPECTRO (degC),T INA OSCAR (degC),T INA MOTORS (degC),T INA BATT (degC),T INA DC_BUS (degC),T INA Q7 (degC),T INA 5V (degC),T INA 3V3 (degC)
43,2023/10/11,07:17:03,1515;2322;1650;2465;2634;2967;1998:1532;1533;1524;1181,,,,,,,,,,,1048575,62,0,0,2659,45,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.083028083028083,27.8998778998779,27.83882783882784,28.32722832722833,27.71672771672772,27.8998778998779,27.83882783882784,0.0,"33,6484375","32,9765625","36,8671875","36,9296875","37,1875","36,9375","37,0703125","32,9453125"
44,2023/10/11,07:27:13,1517;2323;1651;2464;2633;2967;1997:1531;1534;1524;1182,,,,,,,,,,,0,63,0,0,2716,48,22,7,4.903564453125,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,28.144078144078144,27.96092796092796,27.8998778998779,28.449328449328448,27.83882783882784,27.83882783882784,27.8998778998779,0.0,"33,6796875","32,9765625","36,8828125","36,921875","37,1875","36,9453125","37,0703125","32,9296875"
45,2023/10/11,07:37:23,1515;2322;1650;2465;2634;2967;1997:1533;1534;1525;1182,,,,,,,,,,,1048575,52,0,0,2548,45,22,6,4.906005859375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.0146484375,28.205128205128204,27.96092796092796,27.83882783882784,28.449328449328448,27.8998778998779,27.83882783882784,27.8998778998779,0.0,"33,6640625","32,9765625","36,875","36,9453125","37,203125","36,9453125","37,0859375","32,953125"
46,2023/10/11,07:47:33,1515;2324;1651;2465;2635;2966;1997:1532;1534;1525;1181,,,,,,,,,,,0,62,0,0,2562,49,22,7,4.90478515625,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,28.266178266178265,28.021978021978025,27.96092796092796,28.449328449328448,27.8998778998779,27.8998778998779,27.8998778998779,0.0,"33,6875","33,015625","36,9140625","36,9609375","37,2265625","36,96875","37,09375","32,96875"
47,2023/10/11,07:57:43,1517;2324;1649;2465;2635;2967;1997:1532;1535;1526;1182,,,,,,,,,,,1048575,62,0,0,2610,49,22,7,4.9072265625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.205128205128204,28.083028083028083,27.8998778998779,28.449328449328448,27.83882783882784,27.8998778998779,27.96092796092796,0.0,"33,7421875","33,046875","36,9375","36,9765625","37,25","37,0","37,1171875","32,9921875"
48,2023/10/11,08:07:53,1515;2322;1650;2465;2634;2966;1997:1535;1534;1527;1181,,,,,,,,,,,1048575,62,0,0,2586,48,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.266178266178265,27.96092796092796,27.8998778998779,28.388278388278387,27.96092796092796,27.96092796092796,27.96092796092796,0.0,"33,7421875","33,0703125","36,9921875","37,0390625","37,2890625","37,03125","37,1640625","33,046875"
49,2023/10/11,08:18:03,1516;2323;1649;2465;2633;2966;1997:1535;1535;1526;1181,,,,,,,,,,,1048575,62,0,0,2668,46,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.32722832722833,28.083028083028083,28.021978021978025,28.57142857142857,28.083028083028083,28.021978021978025,28.083028083028083,0.0,"33,796875","33,1015625","37,0234375","37,0625","37,3125","37,0703125","37,203125","33,0703125"
50,2023/10/11,08:28:13,1516;2324;1650;2464;2634;2966;1997:1535;1535;1526;1182,,,,,,,,,,,0,62,0,0,2691,48,22,7,0.015869140625,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,28.32722832722833,28.144078144078144,28.021978021978025,28.57142857142857,28.021978021978025,27.96092796092796,28.021978021978025,0.0,"33,8046875","33,1328125","37,046875","37,0859375","37,3359375","37,09375","37,2265625","33,09375"
51,2023/10/11,08:38:23,1516;2323;1650;2465;2635;2966;1998:1534;1537;1527;1181,,,,,,,,,,,1048575,52,0,0,2537,47,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.32722832722833,28.144078144078144,28.083028083028083,28.57142857142857,28.021978021978025,28.021978021978025,28.083028083028083,0.0,"33,828125","33,1328125","37,046875","37,1015625","37,34375","37,1015625","37,234375","33,1015625"
52,2023/10/11,08:48:33,1515;2321;1650;2465;2634;2965;1997:1534;1536;1527;1181,,,,,,,,,,,0,62,0,0,2560,42,22,6,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.32722832722833,28.144078144078144,28.021978021978025,28.57142857142857,27.96092796092796,28.021978021978025,28.083028083028083,0.0,"33,8125","33,140625","37,0703125","37,09375","37,359375","37,109375","37,2421875","33,1015625"
