Line, Datetime, PT0 (degC), PT1 (degC), PT2 (degC), PT3 (degC), PT4 (degC), PT5 (degC), PT6 (degC), PT7 (degC)
2121, 2023/10/10 22:33:03, 26.19047619047619, 25.946275946275946, 25.946275946275946, 26.434676434676433, 25.885225885225886, 25.824175824175825, 25.946275946275946, 0.0
2122, 2023/10/10 22:33:13, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.885225885225886, 25.824175824175825, 25.946275946275946, 0.0
2123, 2023/10/10 22:33:23, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.31257631257631, 25.824175824175825, 25.885225885225886, 25.946275946275946, 0.0
2124, 2023/10/10 22:33:33, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.824175824175825, 0.0
2125, 2023/10/10 22:33:43, 26.19047619047619, 26.007326007326007, 25.946275946275946, 26.434676434676433, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
2126, 2023/10/10 22:33:53, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.946275946275946, 25.946275946275946, 25.946275946275946, 0.0
2127, 2023/10/10 22:34:03, 26.12942612942613, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.946275946275946, 25.946275946275946, 0.0
2128, 2023/10/10 22:34:13, 26.25152625152625, 26.007326007326007, 25.824175824175825, 26.434676434676433, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
2129, 2023/10/10 22:34:23, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.946275946275946, 25.946275946275946, 0.0
2130, 2023/10/10 22:34:33, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2131, 2023/10/10 22:34:43, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2132, 2023/10/10 22:34:53, 26.25152625152625, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
